,date,state,PM2.5,CO,NO2,PM10,SO2
1917,2020-03-12,Alaska,5,,NA,18,NA
1944,2020-03-13,Alaska,7.2,,NA,14,NA
1971,2020-03-14,Alaska,8.7,,NA,19,NA
1998,2020-03-15,Alaska,5.9,,NA,14,NA
2025,2020-03-16,Alaska,4.6,,NA,8,NA
2052,2020-03-17,Alaska,6.2,,NA,21,NA
2079,2020-03-18,Alaska,5.3,,NA,8,NA
2106,2020-03-19,Alaska,4,,NA,4,NA
2133,2020-03-20,Alaska,NA,,NA,9,NA
2160,2020-03-21,Alaska,NA,,NA,9,NA
2187,2020-03-22,Alaska,2.7,,NA,3,NA
2214,2020-03-23,Alaska,NA,,NA,10,NA
2241,2020-03-24,Alaska,NA,,NA,10,NA
2268,2020-03-25,Alaska,5.5,,NA,1,NA
2295,2020-03-26,Alaska,5.2,,NA,9,NA
2322,2020-03-27,Alaska,3.7,,NA,13,NA
2349,2020-03-28,Alaska,4.2,,NA,4,NA
2376,2020-03-29,Alaska,5,,NA,10,NA
2403,2020-03-30,Alaska,4.5,,NA,14,NA
2430,2020-03-31,Alaska,5.7,,NA,10,NA
2456,2020-04-01,Alaska,5,,NA,NA,NA
2483,2020-04-02,Alaska,4.3,NA,NA,NA,NA
2508,2020-04-03,Alaska,2.3,NA,NA,NA,NA
2535,2020-04-04,Alaska,2.1,NA,NA,NA,NA
2560,2020-04-05,Alaska,2.6,NA,NA,NA,NA
2586,2020-04-06,Alaska,2.5,NA,NA,NA,NA
2612,2020-04-07,Alaska,2.8,NA,NA,NA,NA
2639,2020-04-08,Alaska,2.1,NA,NA,NA,NA
2666,2020-04-09,Alaska,3.6,NA,NA,NA,NA
2692,2020-04-10,Alaska,3.9,NA,NA,NA,NA
2719,2020-04-11,Alaska,8.4,NA,NA,NA,NA
2746,2020-04-12,Alaska,6,NA,NA,NA,NA
2773,2020-04-13,Alaska,1.6,NA,NA,NA,NA
2800,2020-04-14,Alaska,4.2,NA,NA,NA,NA
