Country,Abb,X,Y,Time,Airline,Info,Source
France,FRA,2.45652,46.627084,13.07.2020,Norwegian Air Shuttle,"Norwegian Air Shuttle S21 Preliminary Long-Haul network as of 10JUL20 (CDG-LAX, CDG-JFK)",https://www.routesonline.com/news/38/airlineroute/292413/norwegian-air-shuttle-s21-preliminary-long-haul-network-as-of-10jul20/
France,FRA,2.45652,46.627084,15.07.2020,Transavia France,Transavia France July 2020 operations as of 12JUL20,https://www.routesonline.com/news/38/airlineroute/292471/transavia-france-july-2020-operations-as-of-12jul20/
French Guiana,GUF,-53.236712,3.921491,,,,
French Polynesia,PYF,-149.40089,-17.677522,10.07.2020,Air Tahiti,Air Tahiti Nui maintains Paris service via Vancouver in August 2020,https://www.routesonline.com/news/38/airlineroute/292367/air-tahiti-nui-maintains-paris-service-via-vancouver-in-august-2020/
French Polynesia,PYF,-149.40089,-17.677522,10.07.2020,Air Tahiti,Air Tahiti Nui July/August 2020 Los Angeles operations as of 09JUL20,https://www.routesonline.com/news/38/airlineroute/292366/air-tahiti-nui-julyaugust-2020-los-angeles-operations-as-of-09jul20/
French Polynesia,PYF,-149.40089,-17.677522,16.07.2020,Air Tahiti,Air Tahiti July - Oct 2020 operation as of 12JUL20; All 48 destinations maintained in 3Q20,https://www.routesonline.com/news/38/airlineroute/292490/air-tahiti-july-oct-2020-operation-as-of-12jul20-all-48-destinations-maintained-in-3q20/
French Southern Territories,ATF,69.642419,-49.605893,,,,
Gabon,GAB,11.800744,-0.606228,,,,
Gambia,GMB,-15.39888,13.453329,,,,
Gaza,PSE,34.306254,31.323248,,,,
Georgia,GEO,43.371361,42.04813,29.06.2020,Georgian Airways,Georgian Airways July 2020 operations as of 28JUN20,https://www.routesonline.com/news/38/airlineroute/292114/georgian-airways-july-2020-operations-as-of-28jun20/
Georgia,GEO,43.371361,42.04813,10.06.2020,Wizz Air Georgia,Wizz Air Georgia network changes from July 2020,https://www.routesonline.com/news/38/airlineroute/291732/wizz-air-georgia-network-changes-from-july-2020/
Germany,DEU,10.380614,51.08868,10.06.2020,Eurowings,Eurowings adds new flights as demand increases,https://worldairlinenews.com/2020/06/10/eurowings-adds-new-flights-as-demand-increases/
Abyei,"SDN, SSD",28.415755,9.786952,,,,
Afghanistan,AFG,66.026881,33.831602,,,,
Aksai Chin,"AKS, CHN",79.132432,35.030488,,,,
??land Islands,ALA,19.80946,60.15449,,,,
Albania,ALB,20.066643,41.138926,27.05.2020,Albawings,Albawings moves new German routes launch to June 2020,https://www.routesonline.com/news/38/airlineroute/291471/albawings-moves-new-german-routes-launch-to-june-2020/
Algeria,DZA,2.678028,28.157361,,,,
American Samoa,ASM,-170.71806,-14.300686,,,,
Andorra,AND,1.576279,42.545479,,,,
Angola,AGO,17.577532,-12.337524,23.06.2020,TAAG,TAAG Angola July 2020 Preliminary International operations,https://www.routesonline.com/news/38/airlineroute/291999/taag-angola-july-2020-preliminary-international-operations/
Anguilla,AIA,-63.054596,18.214755,,,,
Antarctica,ATA,21.475857,-80.408977,,,,
Antigua and Barbuda,ATG,-61.799256,17.077306,30.05.2020,LIAT,LIAT passenger services will remain suspended until June 30,https://antiguaobserver.com/liat-suspends-commercial-flights-for-another-month-2/
Argentina,ARG,-63.578123,-31.578414,17.07.2020,Aerolineas Argentinas,"Aerolineas Argentinas schedules regular flights to Miami, Madrid starting 5 August following COVID-19 reductions",https://bcdtravel.intelliguide.com/Alert/AlertItem.aspx?id=95ed67d4613c4a92b6929f0d4d3683ed%22
Argentina,ARG,-63.578123,-31.578414,02.05.2020,Aerolineas Argentinas,Aerolineas Argentinas June 2020 INTERNATIONAL operations as of 02MAY20,https://www.routesonline.com/news/38/airlineroute/291067/aerolineas-argentinas-june-2020-international-operations-as-of-1130gmt-02may20/
Argentina,ARG,-63.578123,-31.578414,23.06.2020,LATAM Group,LATAM Airlines Group Network changes as of 23JUN20,https://www.routesonline.com/news/38/airlineroute/292029/latam-airlines-group-network-changes-as-of-23jun20/
Armenia,ARM,44.938387,40.295005,,,,
Aruba,ABW,-69.970272,12.50911,30.06.2020,Aruba Airlines,Aruba Airlines resumes Aruba ?€? Curacao service from July 2020,https://www.routesonline.com/news/38/airlineroute/292140/aruba-airlines-resumes-aruba-curacao-service-from-july-2020/
Arunachal Pradesh,"IND, CHN",94.372447,28.128178,,,,
Ashmore and Cartier Islands,AUS,122.967269,-12.242967,,,,
Australia,AUS,134.354708,-25.573209,29.06.2020,Alliance Airlines,Alliance Airlines adds Cairns ?€? Maroochydore service from mid-July 2020,https://www.routesonline.com/news/38/airlineroute/292079/alliance-airlines-adds-cairns-maroochydore-service-from-mid-july-2020/
Australia,AUS,134.354708,-25.573209,24.03.2020,Tigerair Australia,Tigerair Australia will ground all their domestic services effective immediately.,https://www.news.com.au/travel/travel-updates/health-safety/coronavirus-virgin-australia-stands-down-8000-tiger-air-ground-fleet/news-story/e5779b7b867c492c51f8142974371e40
Australia,AUS,134.354708,-25.573209,23.03.2020,Regional Express,Regional Express to ground almost all its public flights from 6 April,https://www.northweststar.com.au/story/6692672/rex-grounding-all-flights-except-qld-as-travel-ban-bites/
Australia,AUS,134.354708,-25.573209,06.04.2020,Virgin Australia,Jetstar April/May 2020 Domestic operations as of 05APR20,https://www.routesonline.com/news/38/airlineroute/290656/jetstar-aprilmay-2020-domestic-operations-as-of-05apr20/
Australia,AUS,134.354708,-25.573209,12.07.2020,Qantas,Qantas suspends international flight bookings until 28 March 2021 ,https://www.news.com.au/travel/travel-updates/health-safety/qantas-will-cancel-all-international-flights-until-march-2021/news-story/242f13048bc9cc25cbb6330a00e7463d
Australia,AUS,134.354708,-25.573209,23.06.2020,Qantas,Qantas July - October 2020 International operations as of 23JUN20,https://www.routesonline.com/news/38/airlineroute/292026/qantas-july-october-2020-international-operations-as-of-23jun20/
Australia,AUS,134.354708,-25.573209,10.07.2020,Qantas,Qantas CLOSES Trans-Tasman bookings in July/August 2020,https://www.routesonline.com/news/38/airlineroute/292368/qantas-closes-trans-tasman-bookings-in-julyaugust-2020/
Australia,AUS,134.354708,-25.573209,14.07.2020,Jetstar,Jetstar closes International long-haul / Indonesia reservations until late-March 2021,https://www.routesonline.com/news/38/airlineroute/292446/jetstar-closes-international-long-haul-indonesia-reservations-until-late-march-2021/
Australia,AUS,134.354708,-25.573209,21.04.2020,Jetstar,Jetstar week of 26APR20 operations as of 19APR20,https://www.routesonline.com/news/38/airlineroute/290892/jetstar-week-of-26apr20-operations-as-of-19apr20/
Australia,AUS,134.354708,-25.573209,15.07.2020,Qantas,Qantas is set to cancel nearly all its international flights until March 2021 ,https://www.cnbc.com/2020/07/14/coronavirus-qantas-to-cut-nearly-all-international-flights-till-march-2021.html
Australia,AUS,134.354708,-25.573209,26.06.2020,FlyPelican,FlyPelican adds Canberra ?€? Ballina service from July 2020,https://www.routesonline.com/news/38/airlineroute/292078/flypelican-adds-canberra-ballina-service-from-july-2020/
Austria,AUT,14.141702,47.58705,03.06.2020,Austrian Airlines,Austrian June 2020 operations as of 31MAY20,https://www.routesonline.com/news/38/airlineroute/291609/austrian-june-2020-operations-as-of-31may20/
